‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
var_list,"['var_list', 'var_qty', 'dt', 'fs', 'simu_time', 'qty_x', 'total_length', 'height', 'depth', 'young', 'density', 'fix_type', 'damping_ratio', 'f_position', 'f_wave_type', 'f_mag', 'f_freq', 'k_jig', 'jig_position', 'animation_speed', 'sampling_length', 'vec_length']"
var_qty,22
dt,1e-06
fs,20000.0
simu_time,0.0075
qty_x,8
total_length,0.25
height,0.005
depth,0.02
young,205000000000.0
density,7850
fix_type,
damping_ratio,0.005
f_position,-2
f_wave_type,impulse
f_mag,100
f_freq,3000
k_jig,"[328000000, 328000]"
jig_position,"[0, 1]"
animation_speed,1
sampling_length,150
vec_length,18







13333.333333333334,-5.498183037799755e-09,1.0517177762635095e-06,-3.382464740688737e-09,-7.587715527498524e-07,-7.412286435551154e-09,-3.192580391301134e-06,-1.8198586845834247e-08,-9.07697607641839e-06,-3.536873283780483e-08,-2.1890271833315273e-05,-1.1072014413302824e-08,-3.6301137277884607e-05,4.2177544943010413e-07,3.607638856016203e-05,4.207570028515442e-06,0.0009071341660411101,8.674789580216248e-05,0.015276511664955923
0.0,5330093536369166.0,-1.4663255397882276e+18,829550486911283.0,-3.2515217640419034e+17,233287564939830.47,-9.412308486591162e+16,68488458878468.67,-2.7674203156881304e+16,20149091664987.125,-8143937303000904.0,5922033422541.395,-2399274867512270.0,1718668677282.52,-715667993661628.0,418273234590.73224,-244277249918537.84,-588165758731.3235,-245930714093695.8
0.0,1.054224919802201e+40,-2.900447402961486e+42,1.640944255820202e+39,-6.4322354495430414e+41,4.6149046353837096e+38,-1.8620369076517798e+41,1.3548877768849424e+38,-5.474970831793944e+40,3.986169999417916e+37,-1.6112224772332263e+40,1.1716167734754538e+37,-4.7469591851866593e+39,3.4003339112718126e+36,-1.4159933238244407e+39,8.275902389025566e+35,-4.8332575734251174e+38,-1.1634133514718316e+36,-4.8654085301575446e+38
0.0,-3.0957538674005215e+64,8.516736889976292e+66,-4.818265821659457e+63,1.8886093802152553e+66,-1.355020244955449e+63,5.467098180686414e+65,-3.978104490450978e+62,1.6074607234589064e+65,-1.1703580490951862e+62,4.730468404431007e+64,-3.4398428322101776e+61,1.3936515678898952e+64,-9.983078172416281e+60,4.1570972835117856e+63,-2.4296316264717858e+60,1.4189395280338054e+63,3.4161936357704935e+60,1.4284925231960147e+63
0.0,-1.3933670675251494e+88,3.8339617684229835e+90,-2.169199734444126e+87,8.503575030140962e+89,-6.100937555239744e+86,2.4617925911898004e+89,-1.7912567369379745e+86,7.238778945603568e+88,-5.2702408467041e+85,2.130390115356203e+88,-1.5491030829270112e+85,6.276813726265946e+87,-4.496108739432845e+84,1.8724260122700857e+87,-1.094376462660075e+84,6.391364780231846e+86,1.5378586600283716e+84,6.432838026509028e+86
0.0,1.366263788224662e+113,-3.7587928106760933e+115,2.126518186973855e+112,-8.335376123647628e+114,5.980369822443147e+111,-2.4129215886621612e+114,1.7557445026693013e+111,-7.094626449314173e+113,5.1654323446317634e+110,-2.0878346862003175e+113,1.518201184115882e+110,-6.1510459093505105e+112,4.406137539056298e+109,-1.834795607409953e+112,1.072356129391239e+109,-6.26271734113659e+111,-1.5077091826773548e+109,-6.304738920614822e+111
0.0,-6.895777280184726e+136,1.896888156230531e+139,-1.0730928911173274e+136,4.205874153853482e+138,-3.017626130330145e+135,1.2174425074335902e+138,-8.85882380686185e+134,3.579418708340354e+137,-2.6061496930802886e+134,1.0533119734139015e+137,-7.659492279660452e+133,3.1030432347780827e+136,-2.2228299040529526e+133,9.25560752205178e+135,-5.4093812049769115e+132,3.1591399015263075e+135,7.608715758378134e+132,3.180902057566621e+135
0.0,-4.838896813389093e+161,1.33127381102386e+164,-7.531671505488856e+160,2.9522443578494097e+163,-2.1181383297359606e+160,8.546212095545346e+162,-6.218570182482905e+159,2.51282873017014e+162,-1.8295267770838637e+159,7.394900450426943e+161,-5.377300194698482e+158,2.1786529756392167e+161,-1.5606155453397984e+158,6.498746460395211e+160,-3.798237090174171e+157,2.2182279235247975e+160,5.33994179594802e+157,2.2330602133861736e+160
0.0,7.177453124998165e+185,-1.9745464225726738e+188,1.1170700674184954e+185,-4.3784985227712915e+187,3.1414486893499715e+184,-1.2674631898352013e+187,9.222663297089298e+183,-3.726618170759614e+186,2.71328239383516e+183,-1.096666956731764e+186,7.974637331860763e+182,-3.230880576046009e+185,2.3143701761044503e+182,-9.637248297771533e+184,5.6325071350308535e+181,-3.2894611511112865e+184,-7.920209618997415e+181,-3.311711816329297e+184
0.0,1.2815163135960451e+210,-3.5257982625875865e+212,1.9947433280410272e+209,-7.819089833631527e+211,5.6099219297540425e+208,-2.263514613202176e+211,1.6470169452380678e+208,-6.655450735286712e+210,4.845640585948095e+207,-1.958627347691243e+210,1.4242348244146948e+207,-5.770486625471706e+209,4.133502815253378e+206,-1.7213087368169965e+209,1.0060352053121705e+206,-5.875405312572969e+208,-1.4142510041112948e+206,-5.914458231713275e+208
0.0,-4.042647114688616e+234,1.112175522709155e+237,-6.292035623566976e+233,2.4662836521116454e+236,-1.769483782390189e+233,7.13934021899191e+235,-5.19490096390009e+232,2.0991421751173532e+235,-1.528340454731349e+232,6.1774025990348984e+234,-4.492005075447632e+231,1.8199365381560036e+234,-1.3036661576213379e+231,5.428658158825259e+233,-3.1728011053379873e+230,1.85296123845746e+233,4.461106340467652e+230,1.8654321312535613e+233
0.0,-1.4386692646593508e+258,3.9587722350243093e+260,-2.2398562056642916e+257,8.780793413778246e+259,-6.299800780506482e+256,2.5420948113982373e+259,-1.849673832088585e+256,7.475023513958919e+258,-5.44220223663756e+255,2.1999523796440657e+258,-1.5996737378201491e+255,6.481869351595799e+257,-4.6429598280415435e+254,1.9336258894145293e+257,-1.1301530056592121e+254,6.600318406186306e+256,1.5879214738087378e+254,6.642778880447138e+256
0.0,1.7493895848250187e+283,-4.812834719526632e+285,2.722838766706639e+282,-1.0672801095091849e+285,7.657397445487302e+281,-3.089560431751802e+284,2.2480952234834865e+281,-9.084128166616864e+283,6.6139406735061874e+280,-2.6733145335138916e+283,1.943941424454287e+280,-7.875953639400123e+282,5.641727874352509e+279,-2.349319596866075e+282,1.3730727219621222e+279,-8.018946906566279e+281,-1.9305014639183767e+279,-8.072737376171446e+281
